user_id,n_ema,reason
@jjha4,,too_many_round_digits(>0.80)
ag_te_2004_05_26_499,,too_many_round_digits(>0.80)
al_ba_2003_18_07_905,23,careless_responding (a priori)
al_se_2003_07_28_277,28,careless_responding (a priori)
an_bo_1988_08_24_166,26,careless_responding (a priori)
an_gi_2000_09_02_655,,too_many_round_digits(>0.80)
an_st_2005_10_16_052,27,careless_responding (a priori)
an_to_2003_08_06_114,26,careless_responding (a priori)
an_va_2004_04_08_527,4,careless_responding (a priori)
ar_sc_2005_06_18_448,,too_many_round_digits(>0.80)
be_za_1966_01_16_877,,low_within_sd(<0.30)
bi_ro_2003_09_07_934,27,careless_responding (a priori)
ca_gi_2003_09_16_737,15,careless_responding (a priori)
ch_be_1998_08_11_011,3,n_ema_out_of_range (must be 5..40)
ch_bi_2001_01_28_407,30,careless_responding (a priori)
ch_da_2000_08_04_388,,too_many_round_digits(>0.80)
cl_pe_2000_02_17_166,4,n_ema_out_of_range (must be 5..40)
co_bo_2002_12_26_113,,too_many_round_digits(>0.80)
co_ca_2003_07_23_023,3,n_ema_out_of_range (must be 5..40)
co_ga_2003_10_29_614,28,careless_responding (a priori)
cr_tm_2004_06_22_652,,too_many_round_digits(>0.80)
di_ma_2005_10_20_756,2,careless_responding (a priori)
el_bi_2001_08_22_377,,low_within_sd(<0.30)
el_ci_2002_02_15_057,26,careless_responding (a priori)
en_ba_2001_02_16_732,4,n_ema_out_of_range (must be 5..40)
fe_gr_2002_02_19_434,25,careless_responding (a priori)
fi_bo_2003_11_25_741,,too_many_round_digits(>0.80)
fr_me_2005_06_25_929,4,n_ema_out_of_range (must be 5..40)
ga_ga_2002_11_26_429,,too_many_round_digits(>0.80)
ga_la_2003_08_25_091,4,n_ema_out_of_range (must be 5..40)
gi_be_2001_01_18_537,57,n_ema_out_of_range (must be 5..40)
gi_lo_2004_06_27_237,28,careless_responding (a priori)
gi_pa_2003_07_12_966,,low_within_sd(<0.30)
gi_ru_2005_03_08_033,31,careless_responding (a priori)
gi_tr_2005_09_08_335,,too_many_round_digits(>0.80)
il_re_2006_01_18_645,31,careless_responding (a priori)
ir_mo_2005_02_23_157,,too_many_round_digits(>0.80)
la_ma_2006_01_31_787,15,careless_responding (a priori)
le_de_2003_09_05_067,26,careless_responding (a priori)
ma_ba_2002_09_09_052,26,careless_responding (a priori)
ma_fo_2004_10_04_676,4,n_ema_out_of_range (must be 5..40)
ma_ro_2005_07_29_713,,low_within_sd(<0.30)
mo_ca_2002_03_21_939,4,n_ema_out_of_range (must be 5..40)
pa_pe_2003_06_23_463,,low_within_sd(<0.30)
pa_sc_2005_09_10_468,29,careless_responding (a priori)
sa_be_2001_07_06_169,3,n_ema_out_of_range (must be 5..40)
se_ti_2000_03_04_975,5,careless_responding (a priori)
so_ma_2003_10_13_804,29,careless_responding (a priori)
st_ma_2004_04_21_426,30,careless_responding (a priori)
va_ma_2005_05_31_567,31,careless_responding (a priori)
vi_de_2002_12_30_067,23,careless_responding (a priori)
vi_di_2003_08_07_429,3,n_ema_out_of_range (must be 5..40)
